dataset,kernel,n_runs,successful_runs,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,accuracy_min,accuracy_max,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,time_mean,time_std,normality_pvalue,best_params
breast,RBF,35,35,96.32626963829011,0.14612930228235235,96.27715104243742,96.3753882341428,96.04219948849106,96.63256606990622,96.35992557234346,0.14691242204745233,96.31054374562163,96.40930739906528,0.263727737118357,0.003307817099954785,0.020572263404891027,"{'C': 26.820698341282622, 'gamma': 2.01706378702772}"
breast,HERMITE,35,35,96.46035805626597,0.2743961243347239,96.36812499880088,96.55259111373107,96.04859335038363,97.07161125319692,96.47788959954528,0.272382935893171,96.38633323722546,96.5694459618651,1.1037623228771345,0.0328256012520142,0.012637141161350516,"{'C': 8.741658117647876, 'degree': 5}"
breast,GEGEN,35,35,96.78279137742054,0.04383964920611586,96.76805551008903,96.79752724475205,96.62617220801361,96.92881500426257,96.78991216053176,0.04288359088597133,96.77549765408753,96.80432666697598,1.4977610143034585,0.011023275126614983,8.700408718232783e-10,"{'C': 0.4268126306042901, 'degree': 3, 'alpha': 0.06938969037691052}"
breast,AL-SALAM,35,35,94.47217147728657,0.374399023410346,94.34632434032426,94.59801861424887,93.70417732310314,95.31969309462914,94.47520374890738,0.37957636965790315,94.34761634511321,94.60279115270154,1.9824319457236146,0.007342443289719825,0.2804490202731539,"{'C': 10.875975250796337, 'degree': 4, 'a': -1, 'q': 0.6008076425875872}"
australian,LINEAR,35,35,85.50724637681158,1.2248216412605965e-14,85.50724637681158,85.50724637681158,85.50724637681158,85.5072463768116,85.52316722503723,0.008280362649830272,85.52038393804305,85.5259505120314,0.21251243430056743,0.003133034448948524,3.029108206313893e-09,{'C': 0.1935541792519157}
australian,POLY,35,35,85.72256728778467,0.48917397683221114,85.55814072518295,85.88699385038639,84.6376811594203,86.81159420289856,85.7175417102416,0.4901662245978451,85.55278162235629,85.88230179812692,0.49376362287439407,0.0026337655680203323,0.7894258719822926,"{'C': 7.7639476395414455, 'degree': 3, 'coef0': 1.2505361547873632}"
australian,RBF,35,35,85.527950310559,0.4545444803333372,85.37516379698609,85.68073682413193,84.4927536231884,86.52173913043478,85.52262415595287,0.4582998611165276,85.3685753422931,85.67667296961264,0.2969603171239474,0.002617378643226735,0.5596079717902374,"{'C': 24.863391747081046, 'gamma': 0.07654144435671244}"
australian,HERMITE,35,35,83.86335403726709,0.5713085360168016,83.67131949902246,84.05538857551171,82.46376811594203,85.5072463768116,83.85894241764709,0.5722214526695999,83.66660101976913,84.05128381552504,1.8693437371336457,0.017962075558399515,0.426063867249978,"{'C': 63.85482901594333, 'degree': 6}"
australian,GEGEN,35,35,84.92339544513459,0.5537518568415434,84.73726225190055,85.10952863836863,83.62318840579711,85.94202898550725,84.90900791319336,0.5524639783534999,84.72330761590814,85.09470821047859,2.833344048541039,0.021547583121486576,0.1914711174167042,"{'C': 54.584186433340456, 'degree': 1, 'alpha': -0.19823247497540233}"
australian,AL-SALAM,35,35,78.84472049689441,0.5305057304549744,78.66640104853761,79.02303994525121,77.53623188405797,79.56521739130436,78.78633688420028,0.5383524025981656,78.60537992569479,78.96729384270577,3.3019334057279464,0.0071936759230091865,0.0045493474043742516,"{'C': 24.33153457461233, 'degree': 5, 'a': -1, 'q': 0.5939988674997918}"
