dataset,kernel,run,accuracy,f1_score,train_time,random_seed
haberman,RBF,28,73.54838709677419,67.87502051182136,0.13574659987352788,70
haberman,RBF,29,74.16129032258064,69.33603658833259,0.1352939000353217,71
haberman,RBF,30,72.55913978494624,67.48341422379916,0.13770360010676086,72
haberman,RBF,31,72.26881720430107,67.12689186867878,0.13512360001914203,73
haberman,RBF,32,72.19354838709677,66.66398570824657,0.1351442001760006,74
haberman,RBF,33,74.16129032258064,68.85291088981596,0.1317873999942094,75
haberman,RBF,34,73.19354838709677,67.61498046662815,0.134633099893108,76
haberman,HERMITE,0,73.19354838709678,67.0921600560116,0.1645123998168856,42
haberman,HERMITE,1,73.89247311827957,67.71049443473406,0.16522599989548326,43
haberman,HERMITE,2,73.86021505376344,68.01298347341135,0.16335079981945455,44
haberman,HERMITE,3,72.50537634408603,66.7148724099142,0.15525660011917353,45
haberman,HERMITE,4,73.16129032258065,66.24645344363833,0.1606793999671936,46
haberman,HERMITE,5,73.49462365591398,68.01449690616404,0.15545960003510118,47
haberman,HERMITE,6,73.17204301075269,67.78188641658983,0.15491519984789193,48
haberman,HERMITE,7,73.53763440860214,67.80845255679561,0.15925269993022084,49
haberman,HERMITE,8,73.87096774193549,67.90444927961761,0.1557684000581503,50
haberman,HERMITE,9,73.52688172043011,66.88166745415865,0.15498610003851354,51
haberman,HERMITE,10,72.21505376344086,65.76294722492833,0.15595000004395843,52
haberman,HERMITE,11,71.84946236559139,65.58279051718421,0.15944699989631772,53
haberman,HERMITE,12,72.22580645161291,66.24584728391676,0.15787919983267784,54
haberman,HERMITE,13,73.50537634408603,67.02409020103516,0.1586742999497801,55
haberman,HERMITE,14,72.53763440860214,65.52391610966814,0.1604858001228422,56
haberman,HERMITE,15,73.55913978494624,67.7039915461082,0.15574839990586042,57
haberman,HERMITE,16,73.59139784946237,67.27275866229022,0.1571639000903815,58
haberman,HERMITE,17,71.24731182795698,64.35118275986784,0.1574519001878798,59
haberman,HERMITE,18,73.8494623655914,68.06902588250378,0.15633959998376667,60
haberman,HERMITE,19,73.52688172043011,67.31370431235344,0.15517179993912578,61
haberman,HERMITE,20,73.8494623655914,68.09371560578231,0.1602762001566589,62
haberman,HERMITE,21,73.20430107526882,66.79484530697304,0.15684710000641644,63
haberman,HERMITE,22,73.86021505376344,67.42027963230592,0.1550927001517266,64
haberman,HERMITE,23,71.5483870967742,66.14966213286309,0.1550053998362273,65
haberman,HERMITE,24,73.53763440860214,67.24744025426277,0.1563256001099944,66
