dataset,kernel,n_trials,accuracy_mean,accuracy_std,accuracy_median,accuracy_ci_lower,accuracy_ci_upper,accuracy_min,accuracy_max,f1_mean,f1_std,f1_median,support_vector_prop_mean,support_vector_prop_std,support_vector_prop_median,training_time_mean,training_time_std,training_time_median,optimization_time_mean,optimization_time_std,optimization_time_median,n_optimization_trials,cv_folds,optimization_method
mines,custom_gegen,10,0.6057575757575759,0.022684948882444187,0.6110071301247773,0.5886519358897758,0.622863215625376,0.5503565062388592,0.6421568627450982,0.59250232262677,0.027563588218270995,0.5954097494975441,0.7801120578084556,0.022872755421157482,0.7858347713546161,0.007899856981821359,0.0016493454106246133,0.007565794955007732,1.2570584400556981,0.08870357403587642,1.2170137998182327,10,10,bayesian
mines,custom_alsalam,10,0.62198752228164,0.014180371761887668,0.6276292335115865,0.6112947790972773,0.6326802654660028,0.5975935828877005,0.6393939393939394,0.6097866753448449,0.013794463128313965,0.6117383162300982,0.727085849870578,0.02579189488669975,0.7266560612597066,0.009286642004735769,0.0027147985745809167,0.008370455005206168,1.0456887600477784,0.07336760250567557,1.0573851000517607,10,10,bayesian
blood,linear,10,0.7653981981981982,0.0019103212203717716,0.7653963963963963,0.7639577159208595,0.7668386804755369,0.7633873873873874,0.7687207207207207,0.6689307555105146,0.004149817145819159,0.6689825769837019,0.4840009082852369,0.0009660301901850077,0.48395653017402923,0.016493844999931753,0.0013695141877750048,0.016568619990721345,1.6868603500071913,0.11007451495646427,1.7139930999837816,10,10,bayesian
blood,poly,10,0.779972972972973,0.0041977670582467735,0.7794414414414415,0.7768076367000376,0.7831383092459083,0.7740900900900902,0.7874774774774774,0.7248235048144023,0.012949224528413152,0.7274715660501636,0.5211529490610711,0.024057676649056333,0.5248052257265179,0.030932626994326713,0.0058624214636656515,0.03293544505722821,2.7166642899625004,0.22966698607901226,2.7870401500258595,10,10,bayesian
blood,rbf,10,0.7949207207207207,0.0036759799379457833,0.7954144144144144,0.7921488392716767,0.7976926021697648,0.7888828828828829,0.7994414414414415,0.7706868569805916,0.004411490430126346,0.771310051263357,0.48617014475244813,0.0018561271530232197,0.4858150978170291,0.017288941983133556,0.0016664338153209077,0.01696068006567657,1.9656110700219869,0.11693907394585054,1.9500004502478987,10,10,bayesian
blood,custom_hermite,10,0.7723441441441441,0.001691995506714123,0.77209009009009,0.7710682908924673,0.7736199973958209,0.770054054054054,0.7754414414414416,0.69424893025309,0.0027145951729438517,0.6948138421380138,0.4793076088729767,0.001979577677889061,0.4789804718674079,0.021817466979846357,0.0012117986876226175,0.022079380019567905,2.702050539990887,0.04476514247480441,2.712327699875459,10,10,bayesian
blood,custom_gegen,10,0.7906504504504505,0.007059226067542578,0.7934594594594595,0.7853274241794845,0.7959734767214164,0.7807927927927928,0.7995135135135134,0.7575491101418932,0.01427727410213411,0.7613903990770692,0.48106053324279874,0.00953332243980913,0.4772720358375845,0.06540139198303223,0.018703165151002746,0.07635135499294847,6.675740120047704,0.9007734441768548,6.449591599870473,10,10,bayesian
blood,custom_alsalam,10,0.7899783783783784,0.0035431945672309054,0.7907657657657657,0.7873066240551626,0.7926501327015941,0.7834414414414415,0.7940900900900901,0.7577406649379514,0.00818328700474101,0.7610610584967941,0.496732333631686,0.01685249098714265,0.489751147481713,0.024857453028671442,0.002451234557594982,0.02429649999830872,2.3437822899781167,0.1644250077911115,2.270544199971482,10,10,bayesian
statlog,linear,10,0.8083151260504202,0.0021271374678406116,0.808235294117647,0.8067111529640032,0.8099190991368372,0.8047478991596639,0.8130952380952381,0.804906777492102,0.0020036975984819953,0.8046344516782162,0.45947415104779027,0.025879853017399528,0.44589001659865835,0.02351693400647491,0.005479942999531433,0.026157845021225513,2.8352031500078736,0.16526604460026026,2.8319381999317557,10,10,bayesian
statlog,poly,10,0.8578487394957982,0.0043626324672639575,0.8585574229691877,0.8545590860675578,0.8611383929240386,0.8496638655462185,0.8638935574229691,0.8565115896119929,0.004297763473876434,0.8568832991806374,0.41939518638910017,0.012712947453679796,0.42287926205131754,0.031409995001740756,0.0016509866491258626,0.03109130496159196,2.7904787600971757,0.2126159729135078,2.8517468499485403,10,10,bayesian
statlog,rbf,10,0.8338417366946779,0.013176948225993985,0.8396008403361345,0.8239056274233479,0.8437778459660078,0.8117647058823529,0.8496498599439775,0.8317242200913444,0.013147476352045218,0.8373829141014644,0.5292170447472162,0.0483444086070997,0.5149241821702747,0.016910845008678736,0.0019466130461314169,0.01646909499540925,2.23890464999713,0.05861321305952766,2.240587200038135,10,10,bayesian
statlog,custom_hermite,10,0.7938403361344537,0.015012003660587197,0.7928501400560224,0.7825204989312573,0.8051601733376501,0.7704481792717087,0.8189775910364145,0.7858058082355257,0.01691549698368594,0.7847278525733261,0.5766211529151393,0.02859708894317089,0.5835656857320701,0.10682875798549503,0.004168980535004121,0.10585584000218659,12.164930460043252,0.10313848295625523,12.14679260016419,10,10,bayesian
statlog,custom_gegen,10,0.8441344537815126,0.006497309830508438,0.8438095238095238,0.8392351417907237,0.8490337657723016,0.8284453781512605,0.8532633053221289,0.8426364517654077,0.007209604517129845,0.8426899994899337,0.4737010858288954,0.03281740967572736,0.45989452935887676,0.1721720100240782,0.002862802329823775,0.17176687009632588,36.641137530002744,5.147377488149542,35.20753649971448,10,10,bayesian
statlog,custom_alsalam,10,0.8313403361344538,0.009118453905016035,0.8337885154061624,0.8244645441959915,0.8382161280729161,0.8117086834733893,0.8449159663865548,0.829831627074412,0.009171027620124372,0.8318704323544377,0.5165823016806141,0.03830590634613116,0.5241963482951795,0.061320970999076976,0.002299206672318101,0.06156964502297342,6.642654889915138,0.16010194016143667,6.581774749793112,10,10,bayesian
hepatitis,linear,10,0.81375,0.016249999999999987,0.8125,0.801496648701207,0.826003351298793,0.7875,0.85,0.8069804362304364,0.014276748501682023,0.8071382783882783,0.23972222222222223,0.012927862531355666,0.2375,0.0008095790259540081,4.059661831674747e-05,0.0008204350480809808,0.2671281800605357,0.005889764053344572,0.2657142502721399,10,10,bayesian
hepatitis,poly,10,0.8425,0.01274754878398196,0.8375,0.8328876804031611,0.852112319596839,0.825,0.875,0.8326083083583085,0.01393419073526782,0.8294114219114219,0.3768055555555555,0.04306921826233202,0.3701388888888889,0.0007350410195067525,5.398212933751885e-05,0.0007616750197485089,0.2627561899833381,0.007150404915750325,0.26032325020059943,10,10,bayesian
hepatitis,rbf,10,0.8425,0.010000000000000009,0.8375,0.8349594761238197,0.8500405238761803,0.8375,0.8625,0.7740073260073259,0.01906280354181922,0.7645238095238094,0.9648611111111111,0.05016196760322669,0.9895833333333333,0.0007897980092093349,2.330732596554839e-05,0.0007880650227889419,0.2755209698341787,0.005286201630808567,0.27377394982613623,10,10,bayesian
hepatitis,custom_hermite,10,0.8375,0.0,0.8375,,,0.8375,0.8375,0.7645238095238094,0.0,0.7645238095238094,0.3973611111111111,0.09099384815049079,0.35138888888888886,0.0016528539964929226,0.00032710267003175367,0.00171315495390445,0.43565855994820596,0.015624625202294691,0.43709565000608563,10,10,bayesian
hepatitis,custom_gegen,10,0.8574999999999999,0.012747548783981964,0.8625,0.847887680403161,0.8671123195968389,0.8375,0.875,0.8200722610722609,0.03217129167945667,0.8306202131202131,0.6134722222222221,0.26754272331030854,0.6229166666666667,0.0013741039903834463,0.00044147500654471733,0.0012353499187156558,0.4213695500511676,0.024486491500994072,0.41736635006964207,10,10,bayesian
