dataset,kernel,trial,accuracy,accuracy_std,f1_score,f1_std,support_vector_prop,support_vector_std,training_time,training_time_std,optimization_time,random_seed,best_params,n_optimization_trials,cv_folds,optimization_method
australian,rbf,1,0.8492753623188406,0.038996011730648435,0.8492017823221634,0.0390151600111889,0.3711755233494364,0.010036999705151312,0.0087075000628829,0.00027787503773423015,1.3468174999579787,43,"{'C': 25.44285816486207, 'gamma': 0.24227591946943294}",10,10,bayesian
australian,rbf,2,0.7985507246376812,0.036347641170969405,0.7982311150001762,0.03586264222352191,0.41046698872785836,0.008625289366081859,0.008864330034703017,0.0003846247759496115,1.4104132000356913,44,"{'C': 42.76572445463983, 'gamma': 0.46770693414988207}",10,10,bayesian
australian,rbf,3,0.8420289855072465,0.046035884563097366,0.8420153945754578,0.04589844550488352,0.5276972624798713,0.014403914508092319,0.007948529999703169,0.0002386838020801757,1.3184223999269307,45,"{'C': 4.853151568643681, 'gamma': 0.6663708483298129}",10,10,bayesian
australian,rbf,4,0.8246376811594203,0.05080738592161767,0.8239238418716933,0.05100212189017179,0.7228663446054748,0.011995428384195612,0.008689639903604985,0.00022853241413471221,1.3034441000781953,46,"{'C': 4.287501969778039, 'gamma': 1.7722052636656271}",10,10,bayesian
australian,rbf,5,0.844927536231884,0.046308826981653485,0.8449578422258893,0.046321404807684596,0.344927536231884,0.008422993127614832,0.009229430090636015,0.0004597354125460739,1.3126900997012854,47,"{'C': 25.599987137364938, 'gamma': 0.11129523917292246}",10,10,bayesian
australian,rbf,6,0.8246376811594203,0.02628747412640153,0.8244501464911954,0.02625459081695382,0.4829307568438003,0.013766938767466335,0.008225830039009452,0.00031049588433986646,1.2947145998477936,48,"{'C': 11.232090227245585, 'gamma': 0.5809964763486839}",10,10,bayesian
australian,rbf,7,0.8217391304347826,0.05501522578580377,0.8214837016191293,0.055119980181173395,0.3592592592592593,0.012749922200848666,0.010298170056194067,0.0003355752550539635,1.3487821999005973,49,"{'C': 96.21679197288353, 'gamma': 0.2503777431897933}",10,10,bayesian
australian,rbf,8,0.8028985507246377,0.049445571331107184,0.8018641106201378,0.050298737950309695,0.6608695652173914,0.011137917208238706,0.009513370087370276,0.0005835225337572414,1.3468129998072982,50,"{'C': 25.548136901797378, 'gamma': 1.5947519840516893}",10,10,bayesian
australian,rbf,9,0.8507246376811596,0.02828872651585962,0.8506004315762002,0.028462611886916706,0.35990338164251207,0.011882486836955402,0.00937788006849587,0.00031232564628068545,1.3285643002018332,51,"{'C': 41.02538836217453, 'gamma': 0.20578241662639743}",10,10,bayesian
australian,custom_hermite,0,0.844927536231884,0.05307198093797263,0.8441248762087741,0.05384776095580574,0.559098228663446,0.011128600671929794,0.05413832999765873,0.003025132507218323,6.663675600197166,42,"{'C': 73.1996621871987, 'degree': 4}",10,10,bayesian
australian,custom_hermite,1,0.8536231884057971,0.04222841241835784,0.8527143710569474,0.04291252035484757,0.5752012882447665,0.006269862265356481,0.057444030046463014,0.002803065761479864,6.665073799900711,43,"{'C': 32.71457844205816, 'degree': 6}",10,10,bayesian
australian,custom_hermite,2,0.8521739130434783,0.029559533412132088,0.8520655123061782,0.029366277853306106,0.5397745571658614,0.0054274716735435305,0.05593480989336967,0.003764542606636321,6.5889141000807285,44,"{'C': 96.05266199434153, 'degree': 3}",10,10,bayesian
australian,custom_hermite,3,0.8536231884057971,0.05554715332387479,0.8534806833457509,0.05586346204563554,0.5346215780998389,0.010107796989678073,0.05082005001604557,0.0011770517515901737,6.4783013998530805,45,"{'C': 99.07217775409525, 'degree': 3}",10,10,bayesian
australian,custom_hermite,4,0.8521739130434783,0.038234510023979464,0.8516383532398178,0.03852914597423352,0.5484702093397745,0.007386373553094832,0.05769394002854824,0.002237165212455026,6.6214081002399325,46,"{'C': 78.38345124822426, 'degree': 4}",10,10,bayesian
australian,custom_hermite,5,0.8492753623188406,0.029842406205759422,0.848849848430729,0.03010006547774239,0.5251207729468599,0.005870443199213587,0.055301470076665284,0.0036028901646121356,6.582611300051212,47,"{'C': 70.76080622076984, 'degree': 5}",10,10,bayesian
australian,custom_hermite,6,0.8536231884057971,0.03692098319668694,0.8534813604656757,0.036605136910420555,0.5531400966183575,0.005861602165282247,0.05267863995395601,0.003029176643742857,6.527927399612963,48,"{'C': 86.47117395863914, 'degree': 3}",10,10,bayesian
australian,custom_hermite,7,0.855072463768116,0.0360866655014166,0.8548864030132786,0.036155038482952644,0.46908212560386475,0.006523229984067344,0.05481354994699359,0.0033106769474734957,6.601306499913335,49,"{'C': 92.6335871707825, 'degree': 6}",10,10,bayesian
australian,custom_hermite,8,0.8507246376811594,0.02054702446196786,0.8501890077375268,0.020164757572461136,0.5571658615136876,0.008147575291899196,0.05673672002740204,0.0036238879512214433,6.745303200092167,50,"{'C': 37.73213245401471, 'degree': 6}",10,10,bayesian
australian,custom_hermite,9,0.844927536231884,0.05187110193673415,0.8422227453512571,0.05436138887116062,0.6676328502415461,0.0045088566827697135,0.05445090001448989,0.0027384239711302086,6.531251899898052,51,"{'C': 34.33102395058668, 'degree': 4}",10,10,bayesian
australian,custom_gegen,0,0.8579710144927537,0.05217391304347825,0.8573446487190939,0.05315437113626236,0.3251207729468599,0.011396825944747502,0.09379048994742334,0.005956658500678258,16.338972500059754,42,"{'C': 45.607542351719374, 'degree': 5, 'alpha': -0.09264917350486412}",10,10,bayesian
australian,custom_gegen,1,0.8536231884057971,0.027839670597534127,0.8538723451322937,0.02786135958293141,0.32302737520128827,0.008913592594588118,0.09198210001923143,0.006431213337798229,16.352848299778998,43,"{'C': 89.70996089957345, 'degree': 2, 'alpha': 0.031986596966799064}",10,10,bayesian
australian,custom_gegen,2,0.8492753623188405,0.03502332166259295,0.8495262598367738,0.034945117108611506,0.32302737520128827,0.0047333135126244935,0.09034658009186387,0.005023255752177267,18.234775200020522,44,"{'C': 42.76572445463983, 'degree': 1, 'alpha': -0.05638125000041694}",10,10,bayesian
