dataset,kernel,trial,optimization_time,training_time,best_accuracy,best_f1_score,support_vector_prop,best_params,random_seed,n_optimization_trials,cv_folds
ecoli,custom_hermite,5,0.6419840999878943,0.004686329979449511,0.869073083778966,0.8613853076973331,0.4950342054072957,"{'C': 18.218637102894156, 'degree': 3}",47,8,10
ecoli,custom_gegen,0,1.5399015001021326,0.005470060044899583,0.8782531194295901,0.8682916992700378,0.423612659279173,"{'C': 20.811233577369745, 'degree': 2, 'alpha': -0.12816831525786976}",42,8,10
ecoli,custom_gegen,1,1.5891659003682435,0.005932330060750246,0.8780748663101605,0.8679472014684212,0.4408038817126746,"{'C': 2.877249105178084, 'degree': 4, 'alpha': -0.2245519812698833}",43,8,10
ecoli,custom_gegen,2,1.7718688999302685,0.00816750000230968,0.7950980392156863,0.7860581398414629,0.5314044980657007,"{'C': 17.75398968518351, 'degree': 6, 'alpha': 0.41867600678848516}",44,8,10
ecoli,custom_gegen,3,1.408357999753207,0.006667329976335168,0.875222816399287,0.8678557611794655,0.413688719865364,"{'C': 2.812409934004069, 'degree': 2, 'alpha': 0.4623190862767723}",45,8,10
ecoli,custom_gegen,4,1.3924075001850724,0.004317260067909956,0.8719251336898395,0.8636833344742578,0.4074224641007147,"{'C': 7.4983963426883635, 'degree': 1, 'alpha': 0.25070004483418906}",46,8,10
ecoli,custom_gegen,5,1.7655406002886593,0.0068264400586485864,0.8631016042780748,0.853186188069548,0.41368434856730707,"{'C': 3.1787371619055294, 'degree': 5, 'alpha': -0.47957646815918376}",47,8,10
ecoli,custom_alsalam,0,0.5728535000234842,0.003909910004585982,0.8753119429590018,0.8644035892776347,0.43816580333530036,"{'C': 3.4882070224403936, 'degree': 2, 'a': -1, 'q': 0.37}",42,8,10
ecoli,custom_alsalam,1,0.598915500100702,0.004472240060567856,0.8601604278074866,0.8530801244347807,0.4308832207724083,"{'C': 5.526503868113398, 'degree': 3, 'a': -1, 'q': 0.32}",43,8,10
ecoli,custom_alsalam,2,0.5528679001145065,0.0040348800364881756,0.8695187165775401,0.8648842690522409,0.4378259349113719,"{'C': 9.845094997655195, 'degree': 3, 'a': -1, 'q': 0.51}",44,8,10
ecoli,custom_alsalam,3,0.5515837003476918,0.002553289942443371,0.8779857397504456,0.8679608533727237,0.38790789674993986,"{'C': 1.2140015006602403, 'degree': 1, 'a': -1, 'q': 0.12}",45,8,10
ecoli,custom_alsalam,4,0.5710309999994934,0.0025882899761199953,0.8688057040998217,0.8602334101743636,0.3855922016042664,"{'C': 7.4983963426883635, 'degree': 1, 'a': -1, 'q': 0.37}",46,8,10
ecoli,custom_alsalam,5,0.5619763000868261,0.0034258299972862007,0.8602495543672013,0.8421835270959896,0.5677900902673049,"{'C': 2.469050145265414, 'degree': 2, 'a': -1, 'q': 0.64}",47,8,10
mines,linear,0,0.41709640016779304,0.0028160599526017905,0.5209447415329769,0.47438186360188883,0.7902707075064711,{'C': 9.364128431065215},42,8,10
mines,linear,1,0.4080169000662863,0.0021353900898247956,0.5295900178253119,0.48687420566745826,0.8172260569456429,{'C': 3.3356407136855206},43,8,10
mines,linear,2,0.4276813003234565,0.00383644993416965,0.5121212121212121,0.46703552259072956,0.7817159188955995,{'C': 20.87121887449257},44,8,10
mines,linear,3,0.3981162002310157,0.002584880031645298,0.5297682709447417,0.48263560218070484,0.7961842105263157,{'C': 7.036901101574616},45,8,10
mines,linear,4,0.4196185003966093,0.002413860009983182,0.5268270944741532,0.4735980119878773,0.7971688955996548,{'C': 6.226828244802206},46,8,10
mines,linear,5,0.43612820003181696,0.002975780051201582,0.5353832442067736,0.4899700962244215,0.7896171268334772,{'C': 10.36557558009697},47,8,10
mines,poly,0,0.5551389995962381,0.00958138988353312,0.5950980392156864,0.5738302464198973,0.7620038826574633,"{'C': 9.364128431065215, 'degree': 6, 'gamma': 2.9321633619048173}",42,8,10
mines,poly,1,0.6162858996540308,0.002837510034441948,0.5501782531194296,0.5007258315990788,0.8086798964624675,"{'C': 6.015499909513754, 'degree': 2, 'gamma': 3.438750940498319}",43,8,10
mines,poly,2,0.8269175002351403,0.014066570112481714,0.5737076648841356,0.5649238135601772,0.7297864538395168,"{'C': 23.936844254628866, 'degree': 6, 'gamma': 3.5291436202329205}",44,8,10
mines,poly,3,0.7894548000767827,0.012810159986838699,0.609625668449198,0.5869601934799323,0.7472034081104401,"{'C': 15.685164675927945, 'degree': 6, 'gamma': 2.6058768340207172}",45,8,10
mines,poly,4,0.7178958998993039,0.00828239000402391,0.5922459893048129,0.5760128625446873,0.7794219154443486,"{'C': 10.659318426847376, 'degree': 5, 'gamma': 3.4704024356367422}",46,8,10
mines,poly,5,0.6279265000484884,0.007689559925347566,0.5588235294117647,0.5324321737501155,0.7836917601380501,"{'C': 8.787343679511642, 'degree': 5, 'gamma': 3.201549584739277}",47,8,10
mines,rbf,0,0.5231921998783946,0.004630380030721426,0.5773618538324421,0.5667930214729522,0.8530532786885245,"{'C': 18.300116551343315, 'gamma': 2.4009048979725676}",42,8,10
mines,rbf,1,0.5031053000129759,0.004546349868178368,0.556060606060606,0.5398499056080057,0.846814063848145,"{'C': 16.652589237237546, 'gamma': 2.171818189566687}",43,8,10
mines,rbf,2,0.5355303999967873,0.004904880002140999,0.5857397504456328,0.5805863656539348,0.8261054788610871,"{'C': 24.013195103916477, 'gamma': 1.8349747309285782}",44,8,10
mines,rbf,3,0.5284401997923851,0.0049768200609833,0.6361853832442068,0.6234788222158464,0.854372303710095,"{'C': 21.404695032842014, 'gamma': 2.6058768340207172}",45,8,10
mines,rbf,4,0.5365398996509612,0.004517450043931603,0.5920677361853832,0.5886574901959167,0.8172282139775667,"{'C': 21.677167808874145, 'gamma': 1.3052310290573594}",46,8,10
mines,rbf,5,0.5173878003843129,0.004919230053201318,0.5767379679144387,0.5621615725428784,0.8714678602243312,"{'C': 17.690420851338768, 'gamma': 3.201549584739277}",47,8,10
mines,custom_hermite,0,0.5330813000909984,0.0033542899414896964,0.5267379679144385,0.5036975767284246,0.8362952976704057,"{'C': 20.811233577369745, 'degree': 2}",42,8,10
mines,custom_hermite,1,0.5660250000655651,0.003927940083667636,0.5175579322638146,0.4804090388639485,0.833661561691113,"{'C': 16.652589237237546, 'degree': 4}",43,8,10
mines,custom_hermite,2,0.49342430010437965,0.0035423200111836194,0.5324420677361854,0.5128662654932709,0.8359588006902502,"{'C': 18.616267401506267, 'degree': 3}",44,8,10
mines,custom_hermite,3,0.46504850033670664,0.003535010013729334,0.5357397504456328,0.4970962835063181,0.8247853753235548,"{'C': 24.725298825376527, 'degree': 4}",45,8,10
mines,custom_hermite,4,0.4727000999264419,0.0035611499566584825,0.5413547237076649,0.49931046974299564,0.8310364538395169,"{'C': 19.59602493779296, 'degree': 4}",46,8,10
mines,custom_hermite,5,0.46218400029465556,0.003623929899185896,0.526559714795009,0.48883305550624795,0.8297185073339086,"{'C': 17.690420851338768, 'degree': 5}",47,8,10
mines,custom_gegen,0,0.88774019991979,0.004079569969326258,0.5415329768270946,0.49118106720921206,0.8602901207937877,"{'C': 3.4882070224403936, 'degree': 2, 'alpha': 0.23906006815444647}",42,8,10
mines,custom_gegen,1,0.9149484997615218,0.005500360066071153,0.591800356506239,0.5737142875046842,0.7820513373597929,"{'C': 16.652589237237546, 'degree': 4, 'alpha': -0.4322624893955228}",43,8,10
mines,custom_gegen,2,1.057095100171864,0.006984470039606094,0.5680926916221034,0.5664741793280643,0.8353062985332184,"{'C': 17.75398968518351, 'degree': 6, 'alpha': 0.41867600678848516}",44,8,10
mines,custom_gegen,3,0.8777858000248671,0.004655649978667497,0.5622994652406417,0.5326509929580864,0.8379367989646246,"{'C': 2.812409934004069, 'degree': 2, 'alpha': 0.4623190862767723}",45,8,10
mines,custom_gegen,4,0.8211166998371482,0.005020920047536492,0.5565062388591802,0.5345537905234351,0.8129497411561692,"{'C': 9.871403897553764, 'degree': 4, 'alpha': -0.4183827982365956}",46,8,10
mines,custom_gegen,5,0.9859521999023855,0.0043715499341487885,0.5471479500891266,0.5001842935051823,0.8027577653149267,"{'C': 6.166987894984273, 'degree': 2, 'alpha': -0.4422174052507317}",47,8,10
mines,custom_alsalam,0,0.5927642998285592,0.008724539959803223,0.5945632798573977,0.5833335914778275,0.7682517256255392,"{'C': 20.811233577369745, 'degree': 2, 'a': -1, 'q': 0.19}",42,8,10
mines,custom_alsalam,1,0.5608844999223948,0.007678130036219954,0.6002673796791445,0.5850461305676659,0.732082614322692,"{'C': 16.652589237237546, 'degree': 4, 'a': -1, 'q': 0.03}",43,8,10
mines,custom_alsalam,2,0.5138449999503791,0.0051182099152356384,0.5884135472370767,0.5821756809777912,0.782380284728214,"{'C': 17.75398968518351, 'degree': 6, 'a': -1, 'q': 0.46}",44,8,10
mines,custom_alsalam,3,0.5844848998822272,0.007727219955995679,0.6154188948306596,0.6044644202744235,0.740957722174288,"{'C': 24.725298825376527, 'degree': 4, 'a': -1, 'q': 0.28}",45,8,10
mines,custom_alsalam,4,0.5863388003781438,0.006757030030712485,0.6183600713012478,0.6126359804171223,0.7432592752372734,"{'C': 19.59602493779296, 'degree': 4, 'a': -1, 'q': 0.25}",46,8,10
mines,custom_alsalam,5,0.49045780021697283,0.0043320101220160724,0.5975935828877006,0.5775102603087032,0.7853332614322691,"{'C': 3.1787371619055294, 'degree': 5, 'a': -1, 'q': 0.01}",47,8,10
blood,linear,0,0.8320317999459803,0.007386619970202446,0.7607027027027027,0.6607243681839103,0.4824722995048522,{'C': 9.364128431065215},42,8,10
blood,linear,1,0.8017808999866247,0.004793239943683148,0.762054054054054,0.6613937751128592,0.48321347789471825,{'C': 2.877249105178084},43,8,10
blood,linear,2,0.9144684001803398,0.010200500022619963,0.762054054054054,0.6591532156722997,0.48514512722607045,{'C': 20.87121887449257},44,8,10
blood,linear,3,0.8445681999437511,0.012889639986678959,0.7607207207207207,0.6584939512725774,0.4858858647007729,{'C': 24.725298825376527},45,8,10
blood,linear,4,0.8925307001918554,0.009404429979622365,0.7607207207207207,0.6607345107131367,0.483658581752285,{'C': 19.59602493779296},46,8,10
blood,linear,5,0.949652099981904,0.010887140035629272,0.7647207207207207,0.6652079291388251,0.48410478789776057,{'C': 24.36210287781698},47,8,10
blood,poly,0,1.410044000018388,0.027140310034155846,0.7753873873873874,0.7129081405737476,0.48900688268570247,"{'C': 9.364128431065215, 'degree': 6, 'gamma': 2.9321633619048173}",42,8,10
