dataset,kernel,svm.C,svm.poly.degree,svm.poly.gamma,svm.custom_hermite.degree,svm.custom_gegen.degree,svm.custom_gegen.alpha,accuracy,accuracy_std,train_accuracy,train_accuracy_std,f1_score,f1_score_std,train_f1_score,train_f1_score_std,precision,precision_std,train_precision,train_precision_std,recall,recall_std,train_recall,train_recall_std,support_vector_acc,support_vector_std,train_time
ionosphere,GEGEN,15,,,,3.0,0.7,91.45238095238095,5.570054775680542,100.0,0.0,91.5597194287933,5.438200549098777,100.0,0.0,92.59468069524462,4.162344836982734,100.0,0.0,91.45238095238095,5.570054775680542,100.0,0.0,47.89451476793249,1.1936827433177992,4.1569443000043975
ionosphere,AL-SALAM,15,,,,,,76.66666666666667,11.611629169620823,98.73347398030943,0.511580538008697,75.497266372198,13.852322029484327,98.73801190494174,0.5070127146334884,80.4924098841574,15.594308797056067,98.78165118872421,0.47341372387659986,76.66666666666667,11.611629169620823,98.73347398030943,0.511580538008697,64.2607996785212,1.7132139952198098,14.380122200003825
breast,LINEAR,15,,,,,,96.49190110826939,2.0797301952688754,97.20198087974366,0.28831374659863473,96.49276618052174,2.0804444420659296,97.20559279557023,0.2871187704925473,96.58989699669098,2.0540676437864036,97.21421276082897,0.28434981816307925,96.49190110826939,2.0797301952688754,97.20198087974366,0.28831374659863473,7.320330499721936,0.6348805373325312,0.19231820000277366
breast,POLY,15,3.0,"['scale', 'auto']",,,,95.03410059676044,2.918354193840899,98.24313445088848,0.2696548630043816,95.02087350577973,2.9245776624667212,98.24686595925293,0.2683281689799025,95.0801097850445,2.9246799134730086,98.26351944539852,0.2639802745701044,95.03410059676044,2.918354193840899,98.24313445088848,0.2696548630043816,8.947167712719473,0.9431431793408742,0.45283180000114953
breast,RBF,15,,,,,,96.2063086104007,2.8409987727019717,98.1455469929292,0.3264585081383981,96.21196972697064,2.8456707772189382,98.15057530817555,0.3252120745210863,96.27854299893535,2.827876569598732,98.17508330483582,0.3227002125136852,96.2063086104007,2.8409987727019717,98.1455469929292,0.3264585081383981,9.256031355101825,0.9223837846962093,0.24673559999791905
breast,HERMITE,15,,,4.0,,,96.64322250639387,2.5190923296792738,98.08037393077514,0.35492776752171734,96.65603443501686,2.5126768726867144,98.08812863281604,0.3529177952766733,96.76850270013894,2.486436905212117,98.13182455246695,0.3448432149550647,96.64322250639387,2.5190923296792738,98.08037393077514,0.35492776752171734,9.386456926458516,0.5155381604215679,0.8078266999946209
breast,GEGEN,15,,,,3.0,0.7,95.03196930946291,2.440588258209026,99.98373983739836,0.04878048780487698,95.02581313510179,2.454286803738081,99.98374852537528,0.04875442387416662,95.14313187183497,2.481627151481871,99.98381511592893,0.048554652213192995,95.03196930946291,2.440588258209026,99.98373983739836,0.04878048780487698,17.422578851195674,1.1658244403377322,4.053005100002338
breast,AL-SALAM,15,,,,,,93.87254901960785,4.289114415837833,100.0,0.0,93.87167777829293,4.2907478149514136,100.0,0.0,93.99238807816731,4.2947736841159045,100.0,0.0,93.87254901960785,4.289114415837833,100.0,0.0,22.954000158894097,0.881896014697993,3.8053758000023663
australian,LINEAR,15,,,,,,85.50724637681158,4.762804847871008,85.65217391304347,0.5165544261624928,85.5143723606629,4.7721338059911025,85.68661518763614,0.5176080706332389,86.8348171626719,4.178139533141715,86.81545864226186,0.4365749300532398,85.50724637681158,4.762804847871008,85.65217391304347,0.5165544261624928,31.433172302737518,3.172588819587698,0.7134967000019969
australian,POLY,15,3.0,"['scale', 'auto']",,,,85.21739130434783,4.037213993386703,91.22383252818037,0.4511731312760651,85.21680722279498,4.019513887671746,91.22819443189113,0.45332204187489905,85.44317902639845,3.819266019619765,91.25841819702991,0.4500436146327781,85.21739130434783,4.037213993386703,91.22383252818037,0.4511731312760651,32.190016103059584,0.9263109190511856,0.506185700003698
australian,RBF,15,,,,,,85.3623188405797,3.8041752893932435,90.45088566827697,0.4202250676553905,85.35599254372359,3.781342958745506,90.46050053730795,0.41755336745579336,85.7927523166329,3.5913995673607624,90.51737132975484,0.4121673995155472,85.3623188405797,3.8041752893932435,90.45088566827697,0.4202250676553905,33.91304347826087,1.0902615703581808,0.309514799999306
australian,HERMITE,15,,,4.0,,,85.79710144927537,3.9317854974639235,88.5829307568438,0.4523211563667656,85.79872605276773,3.9044736768002597,88.59776470371645,0.45132548043233234,86.08928889792094,3.7141893502893244,88.68088355246047,0.42875090262029714,85.79710144927537,3.9317854974639235,88.5829307568438,0.4523211563667656,42.39935587761674,1.6517218354858698,1.956400199997006
australian,GEGEN,15,,,,3.0,0.7,79.56521739130436,5.039228594409771,97.52012882447666,0.39575541795312597,79.53072670880816,5.042829447734674,97.5192723697486,0.3957956869069226,79.8626847344987,5.056211415565456,97.52375759210257,0.39658226907131594,79.56521739130436,5.039228594409771,97.52012882447666,0.39575541795312597,46.58615136876006,1.2201189526257403,9.351198500000464
australian,AL-SALAM,15,,,,,,73.62318840579711,6.883676572195895,97.58454106280195,0.20368938229748104,73.40568810516275,6.898127637850851,97.58121429503636,0.20344342216491404,73.78697221131375,6.862337859187556,97.60981338377309,0.20761905533283903,73.62318840579711,6.883676572195895,97.58454106280195,0.20368938229748104,57.90660225442834,1.891955316293011,6.784726699996099
