dataset,kernel,svm.C,svm.poly.degree,svm.poly.gamma,svm.custom_hermite.degree,svm.custom_gegen.degree,svm.custom_gegen.alpha,accuracy,accuracy_std,train_accuracy,train_accuracy_std,f1_score,f1_score_std,train_f1_score,train_f1_score_std,precision,precision_std,train_precision,train_precision_std,recall,recall_std,train_recall,train_recall_std,support_vector_acc,support_vector_std,train_time,run_id
breast,LINEAR,1,,,,,,96.6389599317988,2.2625609833642457,97.3321416276052,0.3261049347396466,96.63916956946352,2.2626129662977457,97.33617797826147,0.3245841997016623,96.7310734672792,2.227736013001539,97.3461170084413,0.3206897649111038,96.6389599317988,2.2625609833642457,97.3321416276052,0.3261049347396466,8.003628081883425,0.482527292075346,0.1540769001003354,1
breast,POLY,1,2.0,"['scale', 'auto']",,,,96.64322250639388,2.7556522775109675,97.60872328592993,0.3249210979997964,96.64628803635163,2.761535655996364,97.6129771179464,0.3236646350379511,96.74105159841824,2.744499992728601,97.62400473914629,0.3204964640164714,96.64322250639388,2.7556522775109675,97.60872328592993,0.3249210979997964,8.882074097613941,0.5501971583898351,0.4387509000953287,1
breast,RBF,1,,,,,,97.0780051150895,2.156952248883397,97.38094859775958,0.2755798843972037,97.09201737044216,2.1390701054177046,97.38746758698296,0.2738388717755452,97.18375543361697,2.0803863094093966,97.40674449674862,0.2678993948074674,97.0780051150895,2.156952248883397,97.38094859775958,0.2755798843972037,10.281057175392602,0.7216845780426157,0.2455506999976933,1
breast,HERMITE,1,,,3.0,,,96.49616368286446,2.1709481143501392,96.50247609967955,0.2632720104418133,96.51773494870191,2.1523796006112232,96.51894429563336,0.2612329335643485,96.64220948464092,2.092704507112447,96.58317345720916,0.2548078170134983,96.49616368286446,2.1709481143501392,96.50247609967955,0.2632720104418133,12.18444956436535,0.7197837419670089,1.005484899971634,1
breast,GEGEN,1,,,,2.0,0.1,96.49829497016196,2.5277651379344466,97.21829400704428,0.3114060594142334,96.4957132360966,2.5344335547543424,97.22393160241334,0.3085560275038256,96.63741427814806,2.4599706658981866,97.2398416002934,0.3009520180042993,96.49829497016196,2.5277651379344466,97.21829400704428,0.3114060594142334,12.477158973544134,0.7865992589674612,2.046210699947551,1
breast,AL-SALAM,1,,,,,,92.68542199488492,3.395800858326159,100.0,0.0,92.55585087017042,3.518398300566757,100.0,0.0,92.96723835538576,3.3191026988725643,100.0,0.0,92.68542199488492,3.395800858326159,100.0,0.0,17.357564683138687,0.9168512848660224,3.788003500085324,1
australian,LINEAR,1,,,,,,85.50724637681158,4.762804847871008,85.65217391304347,0.5165544261624928,85.5143723606629,4.772133805991103,85.68661518763614,0.5176080706332389,86.8348171626719,4.178139533141715,86.81545864226186,0.4365749300532398,85.50724637681158,4.762804847871008,85.65217391304347,0.5165544261624928,31.04669887278583,1.7519063148417575,0.2335115999449044,1
australian,POLY,1,2.0,"['scale', 'auto']",,,,85.65217391304347,4.511415193122721,87.26247987117553,0.4523211563667698,85.66710458082603,4.509715342240331,87.30007200785087,0.4516323582704323,86.49646786504577,3.92665777714022,87.84681013208571,0.4198985693297346,85.65217391304347,4.511415193122721,87.26247987117553,0.4523211563667698,32.97906602254427,0.9973502458745256,0.466279000043869,1
australian,RBF,1,,,,,,85.50724637681158,4.762804847871008,85.84541062801932,0.4165061886111921,85.5143723606629,4.772133805991103,85.88064074614611,0.4180913242102394,86.8348171626719,4.178139533141715,86.96050776085089,0.3401573831187425,85.50724637681158,4.762804847871008,85.84541062801932,0.4165061886111921,35.410628019323674,0.9727367671844732,0.2687284999992698,1
australian,HERMITE,1,,,3.0,,,83.91304347826087,5.629833217262329,85.21739130434783,2.3609523746359087,83.85976819611459,5.705257482931256,85.1949153758189,2.5372945340952207,84.65730230312315,5.198210345778992,85.75344229992284,2.2310585316364304,83.91304347826087,5.629833217262329,85.21739130434783,2.3609523746359087,72.38325281803543,1.9420717128901652,1.623102799989283,1
