dataset,kernel,cka_median,cka_iqr,cka_p_median,cka_p_iqr,hsic_median,hsic_iqr,hsic_p_median,hsic_p_iqr,effective_rank_median,effective_rank_iqr,top1_ratio_median,top1_ratio_iqr,cum_top3_median,cum_top3_iqr,cum_top5_median,cum_top5_iqr,kpca_top1_median,kpca_top1_iqr,kpca_cum_top5_median,kpca_cum_top5_iqr,knn_overlap_5_median,knn_overlap_5_iqr,knn_overlap_10_median,knn_overlap_10_iqr,fisher_ratio_rkhs_median,fisher_ratio_rkhs_iqr,svm_mean_margin_median,svm_mean_margin_iqr,svm_std_margin_median,svm_std_margin_iqr,svm_sv_prop_median,svm_sv_prop_iqr,svm_n_sv_median,svm_n_sv_iqr,dof_trace_median,dof_trace_iqr
australian,poly,0.3620998455765834,0.020433222061377876,0.009900990099009901,0.0,0.25952042806987097,0.30091341961172596,0.009900990099009901,0.0,9.997170405020519,4.096798775819816,0.22034300712083096,0.06074749365724397,0.4830276501066916,0.12995076480449264,0.6192883001527314,0.15663278392798963,0.22034300712083096,0.06074749365724397,0.6192883001527314,0.15663278392798963,0.951304347826087,0.03130434782608693,0.9478260869565218,0.03565217391304332,1.1285683377924032,0.044236416122192646,1.022126196829124,0.11539947020458685,1.024547813228845,0.1655747947677062,0.42898550724637685,0.2115942028985507,148.0,73.0,275.21122641452655,162.22858691348654
australian,rbf,0.3431006166189733,0.1283820720622662,0.009900990099009901,0.0,0.014849967356772414,0.01449984325317933,0.009900990099009901,0.0,16.647397990225105,34.92825396131214,0.16207452638771258,0.1849469328220386,0.36408943642006475,0.3925518448492224,0.47821763692486535,0.4660072981900462,0.16207452638771258,0.1849469328220386,0.47821763692486535,0.4660072981900462,1.0,0.0,1.0,0.0,1.099597517947583,0.12696804863771738,1.0097296517648857,0.11989482094867776,1.024131601328517,0.12373496459693467,0.5043478260869565,0.16956521739130426,174.0,58.5,289.0772539177799,181.09716655628512
blood,custom_alsalam,0.04042364877944407,0.024362110355968934,0.009900990099009901,0.022277227722772276,0.008485984020273132,0.03059461420548205,0.009900990099009901,0.007425742574257427,3.744154060893269,1.4925791692091708,0.45779355015010703,0.17599029643231767,0.7687369528590831,0.11875447953085938,0.8762297080639516,0.08711135614070353,0.45779355015010703,0.17599029643231767,0.8762297080639516,0.08711135614070353,0.7240641711229946,0.028475935828877086,0.7967914438502675,0.04906417112299466,1.0379167997964431,0.034626402140920165,0.9811302031926932,0.050191105141859094,0.38364796448140026,0.35497302358759775,0.4852941176470588,0.017379679144384985,181.5,6.5,48.146684418738445,37.878504495358115
blood,custom_gegen,0.03809122537004059,0.01739711999943329,0.009900990099009901,0.0,0.0035305235772433363,0.008296966321800771,0.009900990099009901,0.0,2.579989932004574,1.2511352799264217,0.5884893566634286,0.1532157187322472,0.8253541410309435,0.10924175063707087,0.9192333432622966,0.1013794492426684,0.5884893566634286,0.1532157187322472,0.9192333432622966,0.1013794492426684,0.646524064171123,0.15106951871657748,0.6986631016042781,0.15628342245989302,1.0099279523461946,0.05517622519164944,0.9778076496771099,0.04694307811485743,0.40628338434629685,0.3438953722907644,0.49732620320855614,0.011363636363636298,186.0,4.25,47.167364823659106,33.780640334837976
blood,custom_hermite,0.026066664788043627,0.003593337718163083,0.009900990099009901,0.0,0.00031315333313895906,6.899239413813048e-05,0.009900990099009901,0.009900990099009901,2.500527154714816,0.27515283566487314,0.5861462400022437,0.042049881062505734,0.9034114804541739,0.027603337075005174,0.9734898721866575,0.015423937124058873,0.5861462400022437,0.042049881062505734,0.9734898721866575,0.015423937124058873,0.6820855614973262,0.03275401069518702,0.7403743315508021,0.034224598930481354,1.0420089052193313,0.04023201614627303,0.9949020322935852,0.018458154000307925,0.22717947433081356,0.28550621638266993,0.4839572192513369,0.01470588235294118,181.0,5.5,18.61275417524598,4.70936076739817
blood,linear,0.030607856620257966,0.004201356561352797,0.009900990099009901,0.0,0.0037376583982064544,0.0004999768799436063,0.009900990099009901,0.0,1.6508608971106484,0.0668195742298967,0.7557428629826316,0.020020148890438905,0.9999999999999978,7.771561172376096e-16,0.9999999999999997,1.1102230246251565e-16,0.7557428629826316,0.020020148890438905,0.9999999999999997,1.1102230246251565e-16,0.9911764705882353,0.008288770053475947,0.9925133689839571,0.002941176470588336,1.0520461343564023,0.07854377307521898,1.0001686108553083,0.05325537437251304,0.0009415012793736483,0.3120741416786362,0.48128342245989303,0.006684491978609597,180.0,2.5,2.999947207088013,3.9752020910555075e-06
blood,poly,0.02167127089539218,0.011874144227862149,0.01485148514851485,0.017326732673267328,0.009016477121066867,0.01374241213362555,0.01485148514851485,0.009900990099009901,1.8099257114976257,0.0966165102559371,0.7255953863954163,0.014248883651623911,0.9121505607696975,0.04133192723307533,0.9771319887673914,0.020463765881713503,0.7255953863954163,0.014248883651623911,0.9771319887673914,0.020463765881713503,0.776470588235294,0.03983957219251333,0.8378342245989305,0.0582887700534761,1.0216660209762631,0.042953102004241295,0.9865508468813099,0.030962871290892258,0.3200344195430088,0.2750774674083902,0.4919786096256684,0.022058823529411686,184.0,8.25,24.702445082807564,18.331724560692376
blood,rbf,0.03542533218971913,0.007084456685186494,0.009900990099009901,0.0,0.0021534896381562984,0.0018211050565017206,0.009900990099009901,0.0,3.018183342891586,2.00534052561476,0.5365257702183429,0.2032022317229546,0.8143149209309473,0.15371246493025892,0.916836300478396,0.13270199786043202,0.5365257702183429,0.2032022317229546,0.916836300478396,0.13270199786043202,0.9887700534759358,0.007352941176470451,0.9934491978609625,0.0024732620320856435,1.0218470920161788,0.02762788475792677,0.9607787714456273,0.04248691586933806,0.3419306922464439,0.1591738527263548,0.5,0.03008021390374327,187.0,11.25,35.20689470161854,32.73885746222243
breast,custom_alsalam,0.6946554724501824,0.027524858115875572,0.009900990099009901,0.0,11.600724281278396,18.827169069536637,0.009900990099009901,0.0,14.21817553659247,5.855533220907553,0.22966117741945616,0.05113307282094254,0.3766789953663199,0.07669251978285269,0.43014805629727526,0.0758000513655101,0.22966117741945616,0.05113307282094254,0.43014805629727526,0.0758000513655101,0.6195906432748538,0.021419200493903334,0.6559234106772307,0.017984171082643163,1.3897125189163795,0.05984229740848335,1.2280927388062732,0.2550350703766695,1.1492276420053955,0.19403839348321883,0.3187134502923976,0.04618768328445744,109.0,15.75,236.4627516253559,16.319433985448285
breast,custom_gegen,0.7851022326422562,0.2563591081480695,0.009900990099009901,0.0,1.7845043754907275,3.7676367191710134,0.009900990099009901,0.0,4.661287028937565,2.1258816390874706,0.44835482896161627,0.13396289374602,0.5819988808481917,0.039660836982242764,0.6444809747969864,0.053370207034133754,0.44835482896161627,0.13396289374602,0.6444809747969864,0.053370207034133754,0.5390749601275917,0.1873055684176227,0.6106780881823326,0.20720854555744195,1.678518909747883,0.539580339596526,1.6816244043123492,0.18027045524615581,1.6034595756628462,0.15779517422068645,0.1449640719589786,0.12118854075560359,49.5,41.5,228.1904831839539,31.578049071112503
